               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08454,            0.032131,             0.02375,              0.1962,              0.5279,             0.30765,             0.11977,            0.037782,            0.021108,            0.010892,            0.070462,           0.0032821,           0.0032821
                   1,            0.055999,            0.023943,            0.011314,             0.30548,             0.62643,             0.41578,             0.20154,            0.045907,            0.008959,            0.005511,            0.040331,           0.0064844,           0.0064844
                   2,             0.05217,            0.019187,           0.0064627,             0.36299,             0.80402,             0.66917,             0.27802,            0.038881,           0.0076493,           0.0075266,            0.010068,           0.0095547,           0.0095547
                   3,            0.045844,            0.017579,           0.0051548,             0.63618,             0.89843,             0.86483,             0.49465,            0.025906,           0.0064249,           0.0016076,            0.009406,            0.009406,            0.009406
                   4,            0.039748,            0.015644,           0.0044816,              0.5302,             0.90635,             0.73806,             0.35649,            0.031581,            0.006845,          0.00091635,            0.009406,            0.009406,            0.009406
                   5,             0.03737,            0.015034,           0.0045719,             0.90864,             0.96519,             0.98201,             0.63451,            0.017661,            0.005864,           0.0014219,            0.009208,            0.009208,            0.009208
                   6,            0.032963,            0.014324,           0.0041737,             0.93548,             0.92216,             0.97565,             0.58196,            0.019583,           0.0061199,           0.0012743,             0.00901,             0.00901,             0.00901
                   7,            0.030996,            0.013715,           0.0046036,              0.9458,             0.96292,             0.98698,              0.6947,            0.015628,           0.0054437,           0.0012832,            0.008812,            0.008812,            0.008812
                   8,            0.029918,            0.013167,           0.0033103,             0.98501,             0.97477,             0.99172,             0.67235,            0.017449,           0.0048753,            0.001066,            0.008614,            0.008614,            0.008614
                   9,            0.028901,            0.012685,           0.0027916,             0.98035,             0.97384,             0.98916,             0.65233,            0.018367,           0.0052807,           0.0011674,            0.008416,            0.008416,            0.008416
                  10,            0.028098,            0.012426,           0.0031067,             0.97432,             0.97292,             0.99134,             0.73395,            0.015399,           0.0045798,           0.0010733,            0.008218,            0.008218,            0.008218
                  11,            0.025943,            0.012358,            0.002521,             0.98831,             0.97913,             0.98917,             0.75958,             0.01441,           0.0045764,          0.00097915,             0.00802,             0.00802,             0.00802
